name,profession,age,ranking_visib_5criteria,date_added_to_alivewatch,risk_factor
Wendell_Berry,poet,90,23108.5,03/01/2024,109891.5
Nicholas_F._Brady,politician,94,49511,03/01/2024,109889
N._Scott_Momaday,novelist,90,23232.5,03/01/2024,109767.5
"Prince_Edward,_Duke_of_Kent",royal_family,89,16861.5,03/01/2024,109538.5
Pratibha_Patil,politician,90,23656,03/01/2024,109344
Tom_Stoppard,playwright,87,3911,03/01/2024,109289
Herman_Chernoff,mathematician,101,96430,03/01/2024,109170
Edwin_Meese,lawyer,93,43791.5,03/01/2024,109008.5
Alan_Simpson_(American_politician),politician,93,43900,03/01/2024,108900
Jared_Diamond,biologist,87,4313.5,03/01/2024,108886.5
Vladimir_Posner,journalist,90,24122,03/01/2024,108878
Robert_Paxton,historian,92,37435,03/01/2024,108765
Bob_Pettit,basket,92,37436,03/01/2024,108764
Shirley_Bassey,singer,87,4538,03/01/2024,108662
Mark_Rydell,actor,90,24355,03/01/2024,108645
Walter_Koenig,actor,88,11301,03/01/2024,108499
Barbara_Mikulski,politician,88,11500,03/01/2024,108300
Michael_H._Hart,physicist,92,37982,03/01/2024,108218
Keir_Dullea,actor,88,11839,03/01/2024,107961
Sylvia_Earle,biologist,89,18619,03/01/2024,107781
Sander_Levin,politician,93,45413.5,03/01/2024,107386.5
Abbe_Lane,actor,92,38848,03/01/2024,107352
Joyce_Van_Patten,actor,90,25714.5,03/01/2024,107285.5
Edward_Fox_(actor),actor,87,6095,03/01/2024,107105
Tom_Courtenay,actor,87,6288.5,03/01/2024,106911.5
Gary_Hart,politician,88,13065,03/01/2024,106735
Billy_Dee_Williams,actor,87,6487,03/01/2024,106713
Edward_O._Thorp,mathematician,92,39767,03/01/2024,106433
Anthony_Kennedy,lawyer,88,13381,03/01/2024,106419
Don_Preston,music,92,39848,03/01/2024,106352
Edward_Bond,writer,90,26683,03/01/2024,106317
Jean_M._Auel,writer,88,13522,03/01/2024,106278
Richard_Wilson_(Scottish_actor),theatre,88,13639,03/01/2024,106161
Fred_Haise,astronaut,91,33455,03/01/2024,106145
Kathryn_Crosby,singer,91,33713,03/01/2024,105887
Dyan_Cannon,film,87,7553,03/01/2024,105647
Jon_Voight,actor,86,1088,03/01/2024,105512
John_L._Hall,physicist,90,27567,03/01/2024,105433
Don_Bluth,film,87,7921,03/01/2024,105279
Leonard_Peikoff,philosopher,91,34324,03/01/2024,105276
Philip_Kaufman,actor,88,14593,03/01/2024,105207
Bernie_Kopell,screenwriter,91,34399,03/01/2024,105201
Jim_Dine,painter,89,21277,03/01/2024,105123
Yuan_T._Lee,chemist,88,14765,03/01/2024,105035
Caldwell_Esselstyn,rower,91,34565,03/01/2024,105035
Elizabeth_Dole,politician,88,14880.5,03/01/2024,104919.5
Richard_Swinburne,philosopher,90,28082.5,03/01/2024,104917.5
Joe_Don_Baker,actor,88,14894,03/01/2024,104906
Don_Norman,computer_scientist,89,21634,03/01/2024,104766
Christopher_Lloyd,actor,86,1903,03/01/2024,104697
Darryl_Hickman,actor,93,48236,03/01/2024,104564
Bat_Ye'or,essayist,91,35205,03/01/2024,104395
David_Amram,singer,94,55088,03/01/2024,104312
David_Irving,essayist,86,2516,03/01/2024,104084
Donald_Knuth,mathematician,86,2603,03/01/2024,103997
Lee_Friedlander,photographer,90,29053,03/01/2024,103947
Mark_Damon,actor,91,35669,03/01/2024,103931
Ray_Cooney,playwright,92,42275,03/01/2024,103925
Bob_Uecker,baseball,89,22551,03/01/2024,103849
Thomas_Nagel,philosopher,87,9361.5,03/01/2024,103838.5
Charles_Duke,astronaut,89,22760.5,03/01/2024,103639.5
Samuel_C._C._Ting,physicist,88,16383,03/01/2024,103417
Joyce_Carol_Oates,playwright,86,3388,03/01/2024,103212
Derek_Jacobi,actor,86,3427.5,03/01/2024,103172.5
Michael_Craig_(actor),actor,96,69580,03/01/2024,103020
Susan_Cooper,writer,89,23457,03/01/2024,102943
Jerry_Brown,politician,86,3834,03/01/2024,102766
Tom_Atkins_(actor),actor,89,23670,03/01/2024,102730
Terence_Stamp,actor,86,3925.5,03/01/2024,102674.5
Christina_Pickles,actor,89,23842,03/01/2024,102558
Frank_Langella,actor,86,4110,03/01/2024,102490
Steven_Berkoff,actor,87,10770,03/01/2024,102430
Ben_Nighthorse_Campbell,politician,91,37203,03/01/2024,102397
Jamie_Farr,comedian,90,30841,03/01/2024,102159
Connie_Francis,singer,86,4491.5,03/01/2024,102108.5
Anthony_Giddens,sociologist,86,4519,03/01/2024,102081
Roald_Hoffmann,chemist,87,11223.5,03/01/2024,101976.5
E._D._Hirsch,literary,96,70756.5,03/01/2024,101843.5
Elliott_Gould,actor,86,4843,03/01/2024,101757
Frederick_Forsyth,writer,86,5013,03/01/2024,101587
Ted_Turner,entrepreneur,86,5152.5,03/01/2024,101447.5
H._D._Deve_Gowda,politician,91,38343,03/01/2024,101257
Peter_Brown_(historian),historian,89,25269,03/01/2024,101131
Terry_Gibbs,bandleader,100,97891.5,03/01/2024,101108.5
Sheila_Jordan,music,96,71687,03/01/2024,100913
Anita_Desai,writer,87,12354.5,03/01/2024,100845.5
John_Standing,actor,90,32298,03/01/2024,100702
Ralph_Bakshi,film,86,5903,03/01/2024,100697
Anthony_Zerbe,actor,88,19246,03/01/2024,100554
Chris_Bonington,mountaineer,90,32509,03/01/2024,100491
Story_Musgrave,astronaut,89,25994,03/01/2024,100406
Lois_Lowry,writer,87,12801,03/01/2024,100399
Seymour_Hersh,journalist,87,12825,03/01/2024,100375
Marlo_Thomas,producer,87,12862.5,03/01/2024,100337.5
Robert_Woodrow_Wilson,astronomer,88,19494,03/01/2024,100306
Anne_Reid,actor,89,26123,03/01/2024,100277
Margaret_O'Brien,actor,87,13023,03/01/2024,100177
Lester_R._Brown,agronomist,90,32927,03/01/2024,100073
Pat_Buchanan,conservative,86,6890,03/01/2024,99710
Oscar_Robertson,basket,86,7016,03/01/2024,99584
Robert_Gallo,virologist,87,13714,03/01/2024,99486
Ron_Carter,cellist,87,13804,03/01/2024,99396
Milan_PaniÄ,business,95,66677,03/01/2024,99323
Bobby_Bare,singer,89,27180,03/01/2024,99220
William_Devane,actor,87,14152.5,03/01/2024,99047.5
Wanda_Jackson,singer,87,14252,03/01/2024,98948
Stephen_Breyer,lawyer,86,7659,03/01/2024,98941
Jerry_West,basket,86,7660,03/01/2024,98940
James_Lee_Burke,writer,88,20936,03/01/2024,98864
Alan_Garner,writer,90,34219.5,03/01/2024,98780.5
James_Darren,actor,88,21184.5,03/01/2024,98615.5
Robert_Fuller_(actor),actor,91,41033,03/01/2024,98567
Faith_Ringgold,painter,94,60910,03/01/2024,98490
Dick_Cavett,actor,88,21319.5,03/01/2024,98480.5
Ruth_Buzzi,actor,88,21345.5,03/01/2024,98454.5
Alan_Dershowitz,lawyer,86,8286,03/01/2024,98314
James_Sikking,actor,90,34687.5,03/01/2024,98312.5
Riane_Eisler,anthropologist,93,54543,03/01/2024,98257
Susan_Kohner,actor,88,21587,03/01/2024,98213
Harvey_Keitel,actor,85,1979,03/01/2024,98021
Pat_Roberts,politician,88,21826,03/01/2024,97974
Michael_Kahn_(film_editor),film,89,28506,03/01/2024,97894
Gerhard_Weinberg,historian,96,74739,03/01/2024,97861
Don_McCullin,biographer,89,28575,03/01/2024,97825
David_Burke_(British_actor),actor,90,35218,03/01/2024,97782
Peter_Arnett,journalist,90,35309,03/01/2024,97691
Joseph_Nye,political_scientist,87,15677,03/01/2024,97523
F._Murray_Abraham,actor,85,2515,03/01/2024,97485
Gerald_Scarfe,caricaturist,88,22462,03/01/2024,97338
Leon_Panetta,politician,86,9272,03/01/2024,97328
Richard_M._Karp,mathematician,89,29157.5,03/01/2024,97242.5
Loretta_Swit,actor,87,15972,03/01/2024,97228
Lily_Tomlin,actor,85,2840,03/01/2024,97160
"Katharine,_Duchess_of_Kent",royal_family,91,42471,03/01/2024,97129
Larry_Lieber,artist,93,55760,03/01/2024,97040
Archie_Shepp,composer,87,16231,03/01/2024,96969
David_Kahn_(writer),historian,94,62475,03/01/2024,96925
Gilbert_Strang,mathematician,90,36110,03/01/2024,96890
