name,profession,age,ranking_visib_5criteria,date_added_to_alivewatch,risk_factor
William_F._Sharpe,economist,91,18368.5,2024-01-03,0.6061575
Terry_Riley,composer,90,11765.0,2024-01-03,0.606175
Michael_Forest,actor,96,51058.0,2024-01-03,0.60771
Samuel_Adler_(composer),conductor,97,53838.0,2024-01-03,0.62681
C._N._R._Rao,chemist,91,14317.0,2024-01-03,0.626415
David_Harvey,anthropologist,90,7789.0,2024-01-03,0.626055
Dudley_R._Herschbach,chemist,93,27658.0,2024-01-03,0.62571
Judd_Hirsch,actor,90,8108.0,2024-01-03,0.62446
Sandy_Koufax,baseball,90,8179.0,2024-01-03,0.624105
Alan_Alda,actor,89,1896.0,2024-01-03,0.62252
Johnny_Mathis,music,90,8837.5,2024-01-03,0.6208125
Ken_Loach,film,89,2308.0,2024-01-03,0.62046
Laurence_Rosenthal,composer,99,68333.5,2024-01-03,0.6203325
Sheila_Hancock,actor,92,22520.0,2024-01-03,0.6184
Piers_Anthony,novelist,91,15959.0,2024-01-03,0.618205
Bruce_Dern,actor,89,2958.0,2024-01-03,0.61721
Steve_Reich,composer,89,3106.0,2024-01-03,0.61647
Julian_Glover,actor,90,10038.0,2024-01-03,0.61481
Janet_Baker,singer,92,23523.0,2024-01-03,0.613385
Annie_Proulx,writer,90,10355.0,2024-01-03,0.613225
Barbara_Feldon,actress,92,23580.0,2024-01-03,0.6131
Jane_Morgan,actor,101,83009.0,2024-01-03,0.612955
Robert_Silverberg,screenwriter,90,10454.0,2024-01-03,0.61273
Douglas_Wilder,politician,94,36966.0,2024-01-03,0.61217
Don_DeLillo,writer,89,4070.0,2024-01-03,0.61165
Anthony_Kenny,philosopher,94,37074.0,2024-01-03,0.61163
Dana_Scott,mathematician,93,30474.0,2024-01-03,0.61163
Leonard_Kleinrock,mathematician,91,17429.0,2024-01-03,0.610855
Marilyn_Horne,singer,91,17580.0,2024-01-03,0.6101
Dolores_Huerta,trade_union,95,44330.5,2024-01-03,0.6083475
Felicia_Farr,actor,93,34749.0,2024-01-03,0.590255
George_Takei,comedian,88,1758.5,2024-01-03,0.5902075
Thomas_Pynchon,writer,88,1880.0,2024-01-03,0.5896
Joyce_Van_Patten,actor,91,25714.5,2024-01-03,0.5694275
Tom_Courtenay,actor,88,6288.5,2024-01-03,0.5675575
Gary_Hart,politician,89,13065.0,2024-01-03,0.566675
Billy_Dee_Williams,actor,88,6487.0,2024-01-03,0.566565
Edward_O._Thorp,mathematician,93,39767.0,2024-01-03,0.565165
Anthony_Kennedy,lawyer,89,13381.0,2024-01-03,0.565095
Don_Preston,music,93,39848.0,2024-01-03,0.56476
Jean_M._Auel,writer,89,13522.0,2024-01-03,0.56439
Richard_Wilson_(Scottish_actor),theatre,89,13639.0,2024-01-03,0.563805
Fred_Haise,astronaut,92,33455.0,2024-01-03,0.563725
Dyan_Cannon,film,88,7553.0,2024-01-03,0.561235
Jon_Voight,actor,87,1088.0,2024-01-03,0.56056
John_L._Hall,physicist,91,27567.0,2024-01-03,0.560165
